listing_id,source,url,title,price,currency,period,area,bedrooms,bathrooms,furnished,property_type,governorate,city,district,latitude,longitude,amenities,posted_date,agency,scraped_at
AQ100059,aqarmap,https://www.aqarmap.com/en/property/details-100059.html,"Furnished Studio for rent in Rehab, New Cairo",120000,EGP,yearly,61,0,1,Furnished,Studio,Cairo,New Cairo,Rehab,30.05805,31.49239,Central AC|Built-in Kitchen,2026-04-15,Bayut Verified,2026-06-30T09:00:00
BA100343,bayut,https://www.bayut.eg/property/details-100343.html,"Semi-furnished Villa for rent in Miami, Alexandria","44,500",EGP,monthly,429 Sq. M.,6,5,Semi-furnished,Villa,Alexandria,Alexandria,Miami,31.27708,30.01646,Gym|Parking|Maids Room|Central AC|Built-in Kitchen,2026-04-08,Nawy,2026-06-30T09:00:00
BA100389,bayut,https://www.bayut.eg/property/details-100389.html,"Unfurnished Studio for rent in Maadi, Cairo",12500,EGP,monthly,58,0,1,Unfurnished,Studio,Cairo,Cairo,Maadi,29.95788,31.26325,Central AC|Parking|Maids Room|Built-in Kitchen|Backup Generator|Balcony,2026-03-18,ERA Egypt,2026-06-30T09:00:00
AQ100333,aqarmap,https://www.aqarmap.com/en/property/details-100333.html,"Unfurnished Chalet for rent in Maadi, Cairo",17500,EGP,monthly,,3,2,Unfurnished,Chalet,Cairo,Cairo,,29.95774,31.2649,Maids Room|Elevator|Central AC|Gym,2026-03-20,Bayut Verified,2026-06-30T09:00:00
AQ100119,aqarmap,https://www.aqarmap.com/en/property/details-100119.html,"Furnished Penthouse for rent in Mohandessin, Giza",1074000,EGP,yearly,324,4,4,Furnished,Penthouse,Giza,Giza,Mohandessin,30.061,31.20591,Swimming Pool|Balcony|Kids Area|Central AC|Gym,2026-05-03,Nawy,2026-06-30T09:00:00
AQ100027,aqarmap,https://www.aqarmap.com/en/property/details-100027.html,"Semi-furnished Duplex for rent in Haram, Giza",20000,EGP,monthly,297,5,2,Semi-furnished,Duplex,Giza,Giza,Haram,29.9913,31.16851,Gym|Garden|Swimming Pool|Parking|Kids Area|Built-in Kitchen,2026-04-13,ERA Egypt,2026-06-30T09:00:00
AQ100217,aqarmap,https://www.aqarmap.com/en/property/details-100217.html,"Unfurnished Chalet for rent in Fifth Settlement, New Cairo",31500,EGP,monthly,168,3,3,Unfurnished,Chalet,Cairo,New Cairo,,30.00451,31.48407,Built-in Kitchen|Swimming Pool|Backup Generator|Gym,2026-06-26,Nawy,2026-06-30T09:00:00
AQ100282,aqarmap,https://www.aqarmap.com/en/property/details-100282.html,"Furnished Studio for rent in Smouha, Alexandria",13500,EGP,monthly,56,0,1,Furnished,Studio,Alexandria,Alexandria,Smouha,31.21286,29.95241,Kids Area|Garden|Built-in Kitchen|Central AC|Balcony|Maids Room,2026-06-15,Nawy,2026-06-30T09:00:00
AQ100238,aqarmap,https://www.aqarmap.com/en/property/details-100238.html,"Unfurnished Chalet for rent in Rehab, New Cairo",222000,EGP,yearly,146,3,3,Unfurnished,Chalet,Cairo,New Cairo,Rehab,30.06479,31.49906,Parking|Security|Gym|Elevator,2026-04-18,Nawy,2026-06-30T09:00:00
BA100235,bayut,https://www.bayut.eg/property/details-100235.html,"Unfurnished Townhouse for rent in Zamalek, Cairo",17455,USD,yearly,270,4,4,Unfurnished,Townhouse,Cairo,Cairo,Zamalek,30.06107,31.22377,Balcony|Built-in Kitchen|Garden|Gym,2026-04-18,Aqarmap Agent,2026-06-30T09:00:00
BA100035,bayut,https://www.bayut.eg/property/details-100035.html,"Semi-furnished Duplex for rent in 6th of October City, 6th of October",29500,EGP,monthly,,3,3,Semi-furnished,Duplex,Giza,6th of October,6th of October City,29.9651,30.93929,Parking|Balcony|Maids Room|Elevator,2026-03-18,Bayut Verified,2026-06-30T09:00:00
BA100103,bayut,https://www.bayut.eg/property/details-100103.html,"Unfurnished Villa for rent in Nasr City, Cairo",58500,EGP,monthly,423,6,4,Unfurnished,Villa,Cairo,Cairo,Nasr City,30.05112,31.37509,Parking|Balcony,2026-06-13,ERA Egypt,2026-06-30T09:00:00
BA100115,bayut,https://www.bayut.eg/property/details-100115.html,"Semi-furnished Apartment for rent in Maadi, Cairo",43000,EGP,monthly,194 Sq. M.,3,3,Semi-furnished,Apartment,Cairo,Cairo,Maadi,29.95165,31.24752,Gym|Elevator|Kids Area,2026-04-29,ERA Egypt,2026-06-30T09:00:00
AQ100073,aqarmap,https://www.aqarmap.com/en/property/details-100073.html,"Furnished Townhouse for rent in Mohandessin, Giza",56000,EGP,monthly,216,4,3,Furnished,Townhouse,Giza,Giza,Mohandessin,30.05418,31.19243,Security|Swimming Pool|Central AC,2026-03-21,Coldwell Banker,2026-06-30T09:00:00
AQ100323,aqarmap,https://www.aqarmap.com/en/property/details-100323.html,"Furnished Duplex for rent in Madinaty, New Cairo",37000,EGP,monthly,290,3,3,Furnished,Duplex,Cairo,New Cairo,Madinaty,30.10539,31.6354,Gym|Security|Maids Room|Parking|Elevator|Swimming Pool,2026-05-18,Private Owner,2026-06-30T09:00:00
AQ100272,aqarmap,https://www.aqarmap.com/en/property/details-100272.html,"Unfurnished Villa for rent in Madinaty, New Cairo",66500,EGP,monthly,471,6,1,Unfurnished,Villa,Cairo,New Cairo,Madinaty,30.09731,31.63238,Garden|Security|Maids Room|Parking,2026-06-16,Aqarmap Agent,2026-06-30T09:00:00
BA100003,bayut,https://www.bayut.eg/property/details-100003.html,"Unfurnished Apartment for rent in Mokattam, Cairo",19000,EGP,monthly,149,3,3,Unfurnished,Apartment,Cairo,Cairo,Mokattam,30.01958,31.30064,Balcony|Gym|Parking|Swimming Pool,2026-03-24,Aqarmap Agent,2026-06-30T09:00:00
BA100165,bayut,https://www.bayut.eg/property/details-100165.html,"Unfurnished Apartment for rent in 6th of October City, 6th of October","13,500",EGP,monthly,132 Sq. M.,3,1,Unfurnished,Apartment,Giza,6th of October,6th of October City,29.96518,30.94903,Parking|Central AC|Backup Generator|Garden|Kids Area,2026-05-31,Private Owner,2026-06-30T09:00:00
AQ100273,aqarmap,https://www.aqarmap.com/en/property/details-100273.html,"Furnished Chalet for rent in Sidi Gaber, Alexandria",24000,EGP,monthly,169,2,2,Furnished,Chalet,Alexandria,Alexandria,Sidi Gaber,31.21209,29.93946,Central AC|Maids Room|Backup Generator|Parking|Kids Area,2026-05-07,Bayut Verified,2026-06-30T09:00:00
AQ100225,aqarmap,https://www.aqarmap.com/en/property/details-100225.html,"Furnished Chalet for rent in Dokki, Giza",12000,EGP,monthly,83,3,1,Furnished,Chalet,Giza,Giza,Dokki,30.03841,31.21456,Balcony|Swimming Pool|Built-in Kitchen,2026-03-29,ERA Egypt,2026-06-30T09:00:00
AQ100291,aqarmap,https://www.aqarmap.com/en/property/details-100291.html,"Semi-furnished Villa for rent in Sidi Gaber, Alexandria",57500,EGP,monthly,,6,4,Semi-furnished,Villa,Alexandria,Alexandria,Sidi Gaber,31.21395,29.94109,Gym|Central AC,2026-04-29,Private Owner,2026-06-30T09:00:00
AQ100353,aqarmap,https://www.aqarmap.com/en/property/details-100353.html,"Furnished Duplex for rent in Roushdy, Alexandria",67000,EGP,monthly,307,5,4,Furnished,Duplex,Alexandria,Alexandria,Roushdy,31.22748,29.95762,Backup Generator|Elevator|Swimming Pool|Built-in Kitchen|Maids Room|Central AC,2026-03-31,ERA Egypt,2026-06-30T09:00:00
BA100159,bayut,https://www.bayut.eg/property/details-100159.html,"Semi-furnished Studio for rent in Fifth Settlement, New Cairo",8500,EGP,monthly,45,0,1,Semi-furnished,Studio,Cairo,New Cairo,Fifth Settlement,30.0113,31.49391,Balcony|Backup Generator|Parking|Maids Room,2026-06-11,Nawy,2026-06-30T09:00:00
AQ100152,aqarmap,https://www.aqarmap.com/en/property/details-100152.html,"Semi-furnished Townhouse for rent in Sheikh Zayed, 6th of October",1101,USD,monthly,270,4,4,Semi-furnished,Townhouse,Giza,6th of October,Sheikh Zayed,30.04169,30.96615,Maids Room|Backup Generator|Built-in Kitchen|Gym,2026-04-25,Nawy,2026-06-30T09:00:00
AQ100090,aqarmap,https://www.aqarmap.com/en/property/details-100090.html,"Furnished Apartment for rent in Roushdy, Alexandria",36000,EGP,monthly,163,4,,Furnished,Apartment,Alexandria,Alexandria,Roushdy,31.21982,29.95621,Central AC|Security,2026-06-04,Aqarmap Agent,2026-06-30T09:00:00
AQ100277,aqarmap,https://www.aqarmap.com/en/property/details-100277.html,"Unfurnished Duplex for rent in 6th of October City, 6th of October",31000,EGP,monthly,217,4,4,Unfurnished,Duplex,Giza,6th of October,6th of October City,29.97462,30.94837,Garden|Security|Elevator|Maids Room|Kids Area,2026-06-27,Bayut Verified,2026-06-30T09:00:00
BA100100,bayut,https://www.bayut.eg/property/details-100100.html,"Semi-furnished Villa for rent in Fifth Settlement, New Cairo","108,000",EGP,monthly,669,5,5,Semi-furnished,Villa,Cairo,New Cairo,Fifth Settlement,29.99954,31.48323,Swimming Pool|Kids Area|Built-in Kitchen,2026-03-19,Aqarmap Agent,2026-06-30T09:00:00
AQ100132,aqarmap,https://www.aqarmap.com/en/property/details-100132.html,"Unfurnished Studio for rent in Mokattam, Cairo",5000,EGP,monthly,50 Sq. M.,0,1,Unfurnished,Studio,Cairo,Cairo,Mokattam,30.01741,31.30717,Central AC|Gym|Kids Area,2026-05-21,Nawy,2026-06-30T09:00:00
BA100360,bayut,https://www.bayut.eg/property/details-100360.html,"Unfurnished Apartment for rent in Smouha, Alexandria",26500,EGP,monthly,167 Sq. M.,4,3,Unfurnished,Apartment,Alexandria,Alexandria,Smouha,31.22282,29.94191,Built-in Kitchen|Swimming Pool|Maids Room|Garden|Central AC,2026-06-05,Private Owner,2026-06-30T09:00:00
AQ100195,aqarmap,https://www.aqarmap.com/en/property/details-100195.html,"Semi-furnished Penthouse for rent in Fifth Settlement, New Cairo",49500,EGP,monthly,229,4,1,Semi-furnished,Penthouse,Cairo,New Cairo,Fifth Settlement,30.00565,31.48836,Elevator|Gym|Swimming Pool|Backup Generator|Parking|Built-in Kitchen,2026-06-01,Bayut Verified,2026-06-30T09:00:00
